Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Find a Job in the Hidden Job Market,"80% of jobs are not posted on job boards or company websites. These positions are filled in the hidden job market. In this course, you can learn how to access these unadvertised jobs by targeting your search, changing how and where you network, and taking action to supercharge your job hunt. Career strategist and former recruiter Sarah Johnston shows how to refine your job search goals, identify the companies you want to work for, and focus your efforts. She explains how to get your foot in the door by requesting an informational interview and how to build a network of contacts through conferences, trade associations, job search clubs, and more. Each tip helps you build valuable momentum and skills for a successful job search.",Course,2020-11-10 13:17 UTC,N/A,false,N/A,
The Unspoken Rules of High Performers and High Potentials,"What separates top performers from the rest? Why do some get ahead, while others struggle? In this audio-only course, Gorick Ng unravels the mystery by highlighting three critical work expectations that managers rarely express.

Gorick Ng is a career advisor at Harvard College and author of the bestselling book The Unspoken Rules: Secrets to Starting Your Career Off Right. Gorick argues that managers ask themselves whether you demonstrate the “three Cs”: 
<ul><li>Are you competent?</li>
<li>Are you committed?</li>
<li>Are you compatible?</li></ul>
<p>Gorick reveals the A+ way to ask for help and the mindset that makes you invaluable. He provides handy scripts for understanding your boss’ priorities and stepping up without overstepping. Finally, Gorick advises on the tricky dance of being a team player without compromising your boundaries.</p>
</p>
<p>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.</p>
<img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%"" />",Course,2024-07-02 15:54 UTC,N/A,false,N/A,
SOLIDWORKS: Piping and Routing,"The SOLIDWORKS Premium package contains more complex piping and routing features, which enable designers to integrate piping and tubing early on, ensuring operability and serviceability and avoiding extra costs. This course teaches how to use the SOLIDWORKS Premium routing tools for piping and tubing applications. Start by learning exactly what routing is and how it is used. Instructor Erin Winick then explores making routes, sketching pipes, auto-routing, and editing piping. She adds coverings and features such as weld gaps and valves, and creates pipe drawings. She also covers designing with flexible tubing, which is measured, assembled, and routed differently than pipes. After completion of this course, users should understand all basic functionality of piping and routing in SOLIDWORKS, including the related parts libraries.",Course,2019-02-07 04:29 UTC,N/A,false,N/A,
Revit: Parametric Curvature in the Family Editor,"Have you ever tried to control the shape of a curved form parametrically in the Revit Family Editor? When geometry is not rectilinear, flexing is much more challenging. In this course, you can explore several techniques to tame your unruly parametric curves. Review examples of circles, arcs, quarter round, half round, arches, and even splines. Discover how to use math and profile families to create more complex forms, associate parameters between nested families, and combine both fixed and variable proportions and scaling to achieve the correct curvature. Instructor Paul F. Aubin focuses the course on the traditional Family Editor but also takes a brief look at the massing Family Editor environment.",Course,2018-12-20 14:39 UTC,N/A,false,N/A,
Sketching for Product Design and AEC,"Product designs usually end up as complex CAD drawings before going into production. But they often start as sketches. Sketching allows product designers to generate ideas quickly, without committing resources to any single idea. That's why this course teaches sketching rather than drawing—focusing on speed, creativity, and iteration rather than on one precise depiction of a single concept.<br><br>

Kevin Henry, a product designer and educator responsible for the influential book <em>Drawing for Product Designers</em>, teaches beginning and intermediate students how to visualize ideas for small-scale and mass production with just a pen and paper. He combines explanation, illustration, animation, and hands-on demonstrations of concepts such as sketching basic shapes as well as more complex forms, creating planes, the mechanics and methods of two-point perspective, projection principles, and creating the illusion of shade and casting shadows. The goal is to get students generating ideas, and sketching them as accurately as possible without inhibiting the creative process. At the end of the course, Kevin explains not just how designers sketch products, but also why. When you're done, check out the rest of our product design courses, which expand on advanced methods of sketching and visualization, including prototyping and computer-aided design (CAD).",Course,2018-12-24 13:01 UTC,N/A,false,N/A,
Learning Bluebeam Revu: Version 2018 to Version 20,"Explore the essentials of Bluebeam Revu, the PDF collaboration program designed specifically for the architecture, engineering, and construction (AEC) industry. For the designer and detailer, Bluebeam Revu includes plugins for most computer-aided design (CAD) and building information modeling (BIM) software that enables quick and easy conversion of both 2D and 3D drawings into a PDF file that can be easily viewed by the entire project team. For the construction professional, it includes sketch, markup, measurement, and takeoff tools as well as powerful search features specifically designed to work with construction documents.",Course,2020-04-29 04:16 UTC,N/A,false,N/A,
Nano Tips to Uncover Your Strengths with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore the power of uncovering your inner strengths and managing your weaknesses to promote personal growth.</p><p>Join peak performance researcher and behavioral strategist Shadé Zahrai to learn the secrets of identifying and evolving your strengths with a genuinely curious, growth-focused mindset. Unearth your best possible self and start building on the innate qualities of your character, gathering feedback, unlocking your full potential, seeking balance, and finding your flow state. Along the way, Shadé shows you how to scrutinize your weaknesses to weed out bad habits, play to your strengths, and invest in your future self.</p>",Course,2023-10-19 04:46 UTC,N/A,false,N/A,
Revit: Architectural Families,"Revit families are an incredible feature, offering libraries of ready-made objects that can be used in CAD drawings or customized to fit any project. Families can also be modeled from scratch and shared with colleagues and clients. This course dives into Revit architectural families, a specific family type for architecture and building information modeling.<br><br>

Author Eric Wing shows how to model families that help you build exactly what you need for your drawings. Eric investigates profiles such as chair rails, baseboards, doors, cabinets, and shelving, as well as adaptive components. Along the way, he introduces the reference planes, parameters, and formulas necessary to build architectural families on your own.",Course,2020-03-21 18:40 UTC,N/A,false,N/A,
Lighting with Flash: Capturing a Dancer in Motion,"In this installment of the <em>Lighting with Flash</em> series, photographer and Strobist.com publisher David Hobby demonstrates using strobes to freeze action while capturing the strength and grace of a dancer in motion. After working through the lighting challenges of a dance studio, David sets up a white, seamless background and shoots some test shots, adjusting the flash units to create a white ""blow-away"" background that will enable the photo to be easily composited. Next, he photographs the dancer, working with her to capture a relaxed expression as she leaps and strikes various poses. After the action shots, David lights and shoots a portrait.",Course,2018-07-22 13:12 UTC,N/A,false,N/A,
Lighting for Photographers: Flash Exposure,"Expand your lighting options and get the most out of your flash as photographer and teacher Brent Winebrenner takes a practical, hands-on look at the theory behind exposure, with a special emphasis on electronic flash exposure.<br><br>

Even with today's automatic flash systems, there are good reasons to understand how flash exposure really works. Brent details these concepts in this course. The course describes how to calculate the true power of your flash and how to modify its output to match your needs, a technique that can extend battery life, reduce recycle time, and provide exposure control that is more predictable than fully automatic modes. The course concludes with several shooting scenarios during which Brent explores the creative use of gels, reflectors, and other light modifiers.",Course,2018-07-19 11:43 UTC,N/A,false,N/A,
