post_date,posted_at,content,image_path,pillar,status,linkedin_url,notes,impressions,reactions,comments,reposts,engagement_rate
2025-04-13,2025-04-13 00:00:00,"What if a classroom wasn't just four walls?

Ahead of A4LE, exploring what a ""perfect classroom"" could look like—one that inspires, immerses, and invites hands-on learning. This concept watercolor sketch envisions an integrated learning environment: an immersive lab for experiential engagement, a hands-on lab for tactile discovery, and an outdoor lab that connects learners with nature.

Learning shouldn't be confined by walls—it should flow, adapt, and inspire.",,future_making,posted,,Historical post 1 - auto-imported,783,11,1,0,0.0153
2024-11-09,2024-11-09 00:00:00,Happy July 4th! 🎇,,breaking_box,posted,,Historical post 2 - auto-imported,679,8,1,0,0.0133
2024-11-09,2024-11-09 00:00:00,"Loose city sketch, admiring the perfect imperfection of a facade. I think it these details constructed over time is where the true character comes from, where the standout new, slowly transforms into the noise of the surrounding world.",,technical,posted,,Historical post 3 - auto-imported,862,17,2,0,0.022
2024-11-09,2024-11-09 00:00:00,"Enjoying the weekend with some acrylic on canvas. Sometime a good abstract piece is needed to balance out the digital.

A bloom. Acrylic on canvas. 30""x60""",,future_making,posted,,Historical post 4 - auto-imported,790,11,1,0,0.0152
2024-11-09,2024-11-09 00:00:00,"Afternoon palette knife abstraction where the imagination is our most valuable brush. Life is just a series of blips that our brains interpret as experience. Now back to AfterEffects!

I find unplugging is often the best way to mentally digest digital problems and to allow the subconscious to digest and find a solution. Last weeks problem was painstakingly trouble shooting 6 AE compositions, trying to sync and align every keyframe to the milisecond. Every change resulted in more changes and more changes where perfection became impossible.

At the end of the day the solution is to embrace the chaos, to enjoy the perfect imperfections, and see to embrace them, not 'fix them' out of existence.",,technical,posted,,Historical post 8 - auto-imported,948,22,0,0,0.0232
2024-11-09,2024-11-09 00:00:00,"Spent the weekend reflecting on the new years goals and ambitions over a living room #painting: ""The Squeezed City"", 36""x60"" Acrylic.

While #procreate and digital tools can be mobile and versatile, they don't seem to capture the randomness and imperfect perfections of life the way raw material does with no undo button.

Each decision is made consciously or subconsciously, and it is the sum of the parts that create the composition. One can have a vision of this end result, but it's best to let go and the moment do the heavy lifting.",,breaking_box,posted,,Historical post 10 - auto-imported,1269,16,5,0,0.0165
2024-11-09,2024-11-09 00:00:00,I'm proud to share that Ive officially starting a new adventure with #Corgan with the talented team at #Hugo. I am excited to see what the future holds in this exciting and new transformative age of architecture!,,research,posted,,Historical post 11 - auto-imported,1250,39,0,0,0.0312
2023-11-10,2023-11-10 00:00:00,Concept design for a mixed use tower. Blending #masstimber with hybrid cladding relationships to maximize occupant comfort and building performance. Volume segmentation is used to divide and blend building uses from private modern living to public mixed use retail and restaurant. The mass timber structural system was chosen to leverage the visual aesthetic of exposed structure and the overall craftsmanship of the sophisticated design. The planting and vegetation pallet results in a xeriscaped composition for water recycling and reduction and dismantling the inside/outside boundary from panoramic views to the gentle waterfront.,,breaking_box,posted,,Historical post 12 - auto-imported,0,12,1,0,0
2023-11-10,2023-11-10 00:00:00,"Recent exploration into Hyper-resolutions with images above 3 billion pixels with #stablediffusion, bypassing the capabilities of programs like Photoshop where procedural computation is the only viable tool.

The basis of AI image generators is 'creating something, from nothing'. These images are snapshots of a larger hyper-tile, generated and controlle by gestures from #procreate digital painting. Coined, 'hyper-resolution' is a recursive image state where a 'hyper-tile' represents an original pixel where new information is guided from, not generated from, original information.",,breaking_box,posted,,Historical post 13 - auto-imported,0,8,1,1,0
2023-11-10,2023-11-10 00:00:00,"Some process work leveraging custom #python and #stablediffusion scrips to create massive artwork for a translucent custom 75'x12' canopy. Final image will be 349,000px by 44,100px at 300DPI, an impossible task without the computational design approach.

The process starts with a synthographic using #midjourney #procreate and #ControlNet. This image is then outpainted and then procedurally cropped/trimmed and re scaled and subdivided into 512x512 tiles to upscale.

After the initial upscale, they are divided into strips for subdivision and upscale and stitched together for fabrication onto the 12'x2' canopy panels. Each image requires specific 6"" overlap with 4"" crop and .5"" bleeds and post-processing cropping to sure image continuity across the panels after printing and decal application. Once the images are complete the digital twin Revit model is procedurally textured and updated for documentation.",,breaking_box,posted,,Historical post 14 - auto-imported,0,9,0,1,0
2023-11-10,2023-11-10 00:00:00,"Recent experiment with a 7 dimensional algrorithmic model. Computational Design has many meanings and forms, but simply it is a process which allows technology to run its course and help us achieve things beyond our imagination, no different than other design process.",,systems,posted,,Historical post 15 - auto-imported,0,22,0,0,0
2023-11-10,2023-11-10 00:00:00,"Finally got some time to sit down with Mid Journey V5….. wow… I am not sure we can comprehend what V6 will be. I still find it refreshing to use V3 for the classic synthographic look and feel, as these models are producing such real imagery. What an amazing tool to be using along side Stable Diffusion!",,breaking_box,posted,,Historical post 17 - auto-imported,0,35,2,0,0
2023-11-10,2023-11-10 00:00:00,"Newest experiment in Stable Diffusion, trying different composition techniques, and animations, and all starting with a line drawing! With all the now daily advancements, it's hard and so refreshing to be behind the curve after looking away for a day. So many models, so many checkpoints, so little time!",,technical,posted,,Historical post 20 - auto-imported,0,4,0,0,0
2023-11-10,2023-11-10 00:00:00,"New experiment with a new Stable Diffusion model starting with a quick 15 second iPad automatic-drawing in Procreate. Adding this tool into the computational design workflow allows for the freedom of idea-flow in the digital environment to enter and see once only imaginable landscapes and creative outcomes.

Stay tuned as more workflow development is to come!",,breaking_box,posted,,Historical post 21 - auto-imported,0,7,0,0,0
2023-11-10,2023-11-10 00:00:00,"A recent computational design exploration with StableDiffusion to experiment with aperture, precocity, material, form, and occupancy and from a rough perspective sketch for an Amazon Pop Up retail anchor concept. This leverages the empowering interface between human and machine to explore once invisible novel concepts and solutions.

From Matias del Campo lecture with co.de.D - Computational Design Detroit Q/A What is Computational Design. This new design process with AI, the '21st century design method', uses technology not as a tool, but a medium to communicate between worlds of the material and the digital.",,breaking_box,posted,,Historical post 22 - auto-imported,0,32,4,7,0
2023-11-10,2023-11-10 00:00:00,"""The Cell"". A Multi-Sport and E-Game Arena concept in development. Combining traditional and contemporary sports, The Cell serves as an iterative petri dish for experimental architectural engineering and live entertainment technology. Leveraging a spatially defining adaptive acoustical membrane, from Football to Fortnite, to live concerts, to restaurants to laser tag, the architectural essence sets to define a new style in the entertainment space.",,technical,posted,,Historical post 23 - auto-imported,0,2,0,0,0
